name_ru	name_eng	date	vote
Притяжение (2017)	 	11.06.2018, 09:03	5
Лето (2018)	 	11.06.2018, 09:01	7
Дэдпул 2 (2018)	Deadpool 2	27.05.2018, 23:09	8
Остров собак (2018)	Isle of Dogs	24.05.2018, 06:33	8
Аннигиляция (2017)	Annihilation	21.05.2018, 23:37	5
Груз 200 (2007)	 	20.05.2018, 21:36	8
Ночные игры (2018)	Game Night	13.05.2018, 21:08	8
Поезд на Париж (2018)	The 15:17 to Paris	11.05.2018, 21:39	7
Матч (2012)	 	10.05.2018, 19:17	5
Тоня против всех (2017)	I, Tonya	21.04.2018, 21:02	9
Домашняя работа (2011)	The Art of Getting By	15.04.2018, 19:53	6
Джуманджи: Зов джунглей (2017)	Jumanji: Welcome to the Jungle	01.04.2018, 18:37	8
Форма воды (2017)	The Shape of Water	30.03.2018, 23:49	8
Смерть Сталина (2017)	The Death of Stalin	25.02.2018, 22:27	6
Три билборда на границе Эббинга, Миссури (2017)	Three Billboards Outside Ebbing, Missouri	23.02.2018, 18:10	9
Лига справедливости (2017)	Justice League	16.02.2018, 22:18	8
Падение Ордена (сериал, 2017 – 2019)	Knightfall	13.02.2018, 00:22	8
Убийство священного оленя (2017)	The Killing of a Sacred Deer	02.02.2018, 22:16	7
Удача Логана (2017)	Logan Lucky	31.01.2018, 21:33	8
